ticket_id,model,lokasyon_tipi,musteri_memnun,siparis_suresi_dk,masa_sayisi
T0001,Sube_B,avm,evet,11,25
T0002,Sube_A,sanayi,evet,10,8
T0003,Sube_B,avm,hayir,9,40
T0004,Sube_A,sanayi,hayir,12,20
T0005,Sube_B,avm,evet,8,37
T0006,Sube_B,avm,evet,10,35
T0007,Sube_B,avm,evet,8,37
T0008,Sube_B,avm,evet,15,36
T0009,Sube_A,sanayi,evet,8,15
T0010,Sube_B,sanayi,evet,10,20
T0011,Sube_A,sanayi,hayir,8,8
T0012,Sube_A,sanayi,hayir,9,12
T0013,Sube_B,avm,evet,9,21
T0014,Sube_B,avm,hayir,9,27
T0015,Sube_B,avm,evet,12,36
T0016,Sube_B,sanayi,evet,14,8
T0017,Sube_B,sanayi,evet,11,15
T0018,Sube_A,sanayi,hayir,11,19
T0019,Sube_A,sanayi,hayir,11,17
T0020,Sube_A,sanayi,hayir,12,8
T0021,Sube_B,avm,evet,13,35
T0022,Sube_B,avm,hayir,10,21
T0023,Sube_B,avm,evet,15,24
T0024,Sube_A,sanayi,evet,14,9
T0025,Sube_B,avm,evet,15,30
T0026,Sube_A,sanayi,hayir,14,15
T0027,Sube_A,sanayi,hayir,11,11
T0028,Sube_B,avm,hayir,13,22
T0029,Sube_A,sanayi,hayir,8,18
T0030,Sube_A,sanayi,hayir,15,8
T0031,Sube_A,sanayi,evet,15,20
T0032,Sube_B,avm,evet,11,23
T0033,Sube_B,avm,evet,9,30
T0034,Sube_A,sanayi,hayir,13,10
T0035,Sube_B,avm,evet,10,38
T0036,Sube_A,sanayi,hayir,13,8
T0037,Sube_A,sanayi,evet,15,15
T0038,Sube_A,sanayi,evet,8,20
T0039,Sube_A,sanayi,evet,11,14
T0040,Sube_A,sanayi,evet,11,10
T0041,Sube_A,sanayi,hayir,11,12
T0042,Sube_A,sanayi,hayir,15,20
T0043,Sube_A,sanayi,hayir,13,19
T0044,Sube_B,avm,evet,10,32
T0045,Sube_B,avm,evet,11,35
T0046,Sube_A,sanayi,evet,11,13
T0047,Sube_B,avm,evet,11,20
T0048,Sube_B,avm,evet,15,37
T0049,Sube_B,avm,evet,10,30
T0050,Sube_A,sanayi,evet,8,16
T0051,Sube_A,avm,evet,13,26
T0052,Sube_B,avm,hayir,15,27
T0053,Sube_B,avm,evet,9,22
T0054,Sube_B,avm,hayir,14,25
T0055,Sube_A,sanayi,evet,12,13
T0056,Sube_B,sanayi,hayir,8,17
T0057,Sube_A,sanayi,evet,14,16
T0058,Sube_B,avm,hayir,12,37
T0059,Sube_A,sanayi,hayir,14,12
T0060,Sube_A,sanayi,hayir,8,18
T0061,Sube_A,sanayi,hayir,15,17
T0062,Sube_B,avm,evet,9,25
T0063,Sube_B,avm,evet,8,29
T0064,Sube_B,avm,hayir,9,33
T0065,Sube_A,avm,evet,12,27
T0066,Sube_A,sanayi,hayir,9,17
T0067,Sube_B,avm,hayir,13,40
T0068,Sube_B,avm,evet,15,28
T0069,Sube_B,avm,evet,8,33
T0070,Sube_B,avm,hayir,11,28
T0071,Sube_B,avm,evet,14,34
T0072,Sube_A,sanayi,hayir,12,11
T0073,Sube_A,sanayi,hayir,8,10
T0074,Sube_B,avm,evet,8,38
T0075,Sube_A,sanayi,hayir,11,18
T0076,Sube_A,sanayi,hayir,11,16
T0077,Sube_B,avm,evet,14,29
T0078,Sube_A,sanayi,hayir,14,13
T0079,Sube_B,avm,evet,9,35
T0080,Sube_B,avm,evet,14,22
T0081,Sube_A,sanayi,hayir,13,9
T0082,Sube_B,sanayi,evet,13,8
T0083,Sube_A,sanayi,evet,12,17
T0084,Sube_B,avm,evet,15,37
T0085,Sube_A,sanayi,hayir,11,11
T0086,Sube_B,avm,evet,9,22
T0087,Sube_A,sanayi,evet,14,19
T0088,Sube_B,sanayi,evet,14,12
T0089,Sube_A,avm,evet,12,22
T0090,Sube_A,sanayi,hayir,9,11
T0091,Sube_A,avm,evet,14,28
T0092,Sube_B,avm,evet,14,33
T0093,Sube_B,avm,evet,12,37
T0094,Sube_B,avm,evet,15,28
T0095,Sube_A,sanayi,hayir,14,17
T0096,Sube_B,avm,evet,10,34
T0097,Sube_B,avm,evet,11,28
T0098,Sube_A,sanayi,hayir,10,20
T0099,Sube_A,sanayi,evet,15,18
T0100,Sube_B,avm,evet,11,39
T0101,Sube_A,avm,evet,14,30
T0102,Sube_A,sanayi,hayir,14,18
T0103,Sube_A,sanayi,hayir,8,12
T0104,Sube_B,avm,evet,12,36
T0105,Sube_A,avm,hayir,14,24
T0106,Sube_A,sanayi,hayir,14,10
